"","fecha","posicion","cancion","artista"
"95",1975-07-26,68,"(I Believe) There's Nothing Stronger Than Our Love","Paul Anka/Odia Coates"
"96",1975-09-20,68,"Born To Run","Bruce Springsteen"
"97",1978-06-10,68,"Copacabana (at The Copa)","Barry Manilow"
"98",1978-08-12,68,"Oh! Darling","Robin Gibb"
"99",1978-11-25,68,"A Little More Love","Olivia Newton-John"
"100",1979-04-28,68,"Dance The Night Away","Van Halen"
"101",1979-06-02,68,"Days Gone Down (Still Got The Light In Your Eyes)","Gerry Rafferty"
"102",1979-08-11,68,"Sail On","Commodores"
"103",1979-09-29,68,"Still","Commodores"
"104",1979-10-13,68,"Better Love Next Time","Dr. Hook"
"105",1981-08-29,68,"Private Eyes","Daryl Hall John Oates"
"106",1983-08-20,68,"Someone Belonging To Someone","Bee Gees"
"107",1983-11-05,68,"Allergies","Paul Simon"
"108",1984-07-28,68,"Only When You Leave","Spandau Ballet"
"109",1985-10-26,68,"Do It For Love","Sheena Easton"
"110",1987-05-09,68,"Point Of No Return","Expose"
"111",1987-11-07,68,"Candle In The Wind","Elton John"
"112",1988-01-23,68,"Rocket 2 U","The Jets"
"113",1988-04-16,68,"Circle In The Sand","Belinda Carlisle"
"114",1988-07-09,68,"Nobody's Fool (Theme From ""Caddyshack II"")","Kenny Loggins"
"115",1989-09-16,68,"Didn't I (Blow Your Mind)","New Kids On The Block"
"116",1989-12-23,68,"Price Of Love","Bad English"
"117",1993-03-06,68,"Nothin' My Love Can't Fix","Joey Lawrence"
"118",1993-10-09,68,"Shoop","Salt-N-Pepa"
"119",1994-07-30,68,"Bop Gun (One Nation)","Ice Cube Featuring George Clinton"
"120",1996-03-09,68,"1, 2, 3, 4 (Sumpin' New)","Coolio"
"121",1997-08-30,68,"Around The World","Daft Punk"
"122",1997-09-20,68,"Avenues","Refugee Camp All Stars Featuring Pras (With Ky-mani)"
"123",1998-12-05,68,"Changes","2Pac"
"124",1999-04-03,68,"One More Try","Divine"
"125",1999-07-17,68,"So Anxious","Ginuwine"
"126",2000-11-04,68,"Pop Ya Collar","Usher"
"127",2001-05-12,68,"Baby, Come Over (This Is Our Night)","Samantha Mumba"
"128",2001-07-14,68,"Contagious","The Isley Brothers Featuring Ronald Isley"
"129",2001-10-13,68,"Caramel","City High Featuring Eve"
"130",2001-12-15,68,"Take Away","Missy ""Misdemeanor"" Elliott Featuring Ginuwine & Tweet"
