"","fecha","posicion","cancion","artista"
"6132",1985-07-20,84,"Only For Love","Limahl"
"6133",1985-07-27,84,"Spanish Eddie","Laura Branigan"
"6134",1985-08-10,84,"Power Of Love (You Are My Lady)","Air Supply"
"6135",1985-09-21,84,"Broken Wings","Mr. Mister"
"6136",1985-11-16,84,"A Love Bizarre","Sheila E."
"6137",1986-08-02,84,"So Far So Good (From ""About Last Night"")","Sheena Easton"
"6138",1987-01-17,84,"Deep River Woman","Lionel Richie"
"6139",1987-04-11,84,"Diamonds","Herb Alpert"
"6140",1987-05-23,84,"Primitive Love Rites","Mondo Rock"
"6141",1987-10-10,84,"Animal","Def Leppard"
"6142",1987-10-31,84,"Reservations For Two","Dionne & Kashif"
"6143",1987-12-19,84,"She's Like The Wind","Patrick Swayze (Featuring Wendy Fraser)"
"6144",1988-02-20,84,"Pamela","Toto"
"6145",1988-07-23,84,"Always There For You","Stryper"
"6146",1988-11-05,84,"Baby Can I Hold You","Tracy Chapman"
"6147",1989-02-25,84,"Radio Romance","Tiffany"
"6148",1989-06-17,84,"Cover Of Love","Michael Damian"
"6149",1989-09-09,84,"Sunshine","Dino"
"6150",1989-09-23,84,"Right Back Where We Started From","Sinitta"
"6151",1990-02-10,84,"Almost Hear You Sigh","The Rolling Stones"
"6152",1990-04-14,84,"Ooh La La (I Can't Get Over You)","Perfect Gentlemen"
"6153",1990-04-21,84,"Deadbeat Club","The B-52s"
"6154",1990-05-05,84,"""B"" Girls","Young And Restless"
"6155",1990-05-12,84,"Bad Of The Heart","George LaMond"
"6156",1990-05-26,84,"Show Me","Howard Hewett"
"6157",1991-04-06,84,"(If There Was) Any Other Way","Celine Dion"
"6158",1991-08-17,84,"Power Windows","Billy Falcon"
"6159",1991-08-24,84,"Real Real Real","Jesus Jones"
"6160",1991-12-07,84,"Addams Groove","M.C. Hammer"
"6161",1992-01-18,84,"Blinded By Love","Rhythm Syndicate"
"6162",1992-05-16,84,"Closer To Me","The Outfield"
"6163",1992-07-11,84,"Back To The Hotel","N2Deep"
"6164",1992-08-22,84,"Real Love","Slaughter"
"6165",1992-10-17,84,"Alone With You","Tevin Campbell"
"6166",1993-02-13,84,"Sweet Thing","Mick Jagger"
"6167",1993-04-17,84,"Alibis","Tracy Lawrence"
"6168",1993-07-10,84,"Chattahoochee","Alan Jackson"
"6169",1993-07-17,84,"Stay Forever","Joey Lawrence"
"6170",1993-08-14,84,"Streiht Up Menace (From ""Menace II Society"")","MC Eiht"
"6171",1993-09-18,84,"Breakadawn","De La Soul"
"6172",1993-09-25,84,"Anniversary","Tony Toni Tone"
"6173",1994-01-01,84,"Addams Family (Whoomp!)","Tag Team"
"6174",1994-08-06,84,"All I Wanna Do","Sheryl Crow"
"6175",1994-09-24,84,"Playaz Club","Rappin' 4-Tay"
"6176",1994-10-22,84,"(I Could Only) Whisper Your Name","Harry Connick, Jr."
"6177",1995-01-21,84,"Cocktales","Too $hort"
"6178",1995-04-01,84,"Purple Medley","Prince"
"6179",1995-04-15,84,"Craziest","Naughty By Nature"
"6180",1995-04-29,84,"Secret Garden","Bruce Springsteen"
"6181",1995-10-21,84,"Set U Free","Planet Soul"
"6182",1997-06-14,84,"Come With Me","Keith Sweat (Featuring Ronald Isley)"
"6183",1997-11-15,84,"DJ Keep Playin' (Get Your Music On)","Yvette Michele"
"6184",1997-12-20,84,"Say You'll Stay","KAI"
"6185",1998-08-01,84,"26 Cents","The Wilkinsons"
"6186",1998-12-05,84,"Spirit Of A Boy, Wisdom Of A Man","Randy Travis"
"6187",1999-06-19,84,"Bills, Bills, Bills","Destiny's Child"
"6188",1999-08-07,84,"Boom, Boom, Boom, Boom!!","Vengaboys"
"6189",1999-10-09,84,"Stay The Night","IMx"
"6190",1999-11-13,84,"A Man Ain't Made Of Stone","Randy Travis"
"6191",1999-12-04,84,"Caught Out There","Kelis"
"6192",2000-03-25,84,"Can't Stay","Dave Hollister"
"6193",2001-11-17,84,"Always On Time","Ja Rule Featuring Ashanti"
"6194",2002-05-11,84,"Days Go By","Dirty Vegas"
"6195",2003-03-22,84,"Don't Dream It's Over","Sixpence None The Richer"
"6196",2003-09-06,84,"Stand Up","Ludacris Featuring Shawnna"
"6197",2003-09-20,84,"(There's Gotta Be) More To Life","Stacie Orrico"
"6198",2003-10-25,84,"Clap Back","Ja Rule"
"6199",2004-04-24,84,"Culo","Pitbull Featuring Lil Jon"
"6200",2005-06-18,84,"ASAP","T.I."
"6201",2006-12-16,84,"Ser O Parecer","RBD"
"6202",2007-03-10,84,"Buy U A Drank (Shawty Snappin')","T-Pain Featuring Yung Joc"
"6203",2007-03-17,84,"Because Of You","Ne-Yo"
"6204",2007-08-11,84,"Take Me There","Rascal Flatts"
"6205",2008-01-19,84,"All-American Girl","Carrie Underwood"
"6206",2008-05-10,84,"Pork And Beans","Weezer"
"6207",2008-06-07,84,"Should've Said No","Taylor Swift"
"6208",2008-11-01,84,"Chopped 'N' Skrewed","T-Pain Featuring Ludacris"
"6209",2008-11-15,84,"Country Boy","Alan Jackson"
"6210",2009-09-19,84,"Body Language","Jesse McCartney Featuring T-Pain"
"6211",2010-06-26,84,"Bohemian Rhapsody","Glee Cast Featuring Jonathan Groff"
"6212",2010-07-17,84,"Outta Your Mind","Lil Jon Featuring LMFAO"
"6213",2010-10-09,84,"Stutter","Maroon 5"
"6214",2012-01-21,84,"Set You Free","3OH!3"
"6215",2012-03-24,84,"Brokenhearted","Karmin"
"6216",2013-01-26,84,"Suit & Tie","Justin Timberlake Featuring JAY Z"
"6217",2013-08-24,84,"Right There","Ariana Grande Featuring Big Sean"
"6218",2013-09-07,84,"Almost Is Never Enough","Ariana Grande & Nathan Sykes"
"6219",2014-02-01,84,"Doin' What She Likes","Blake Shelton"
"6220",2014-07-26,84,"All About That Bass","Meghan Trainor"
"6221",2014-08-30,84,"Shell Shocked","Juicy J, Wiz Khalifa & Ty Dolla $ign Featuring Kill The Noise & Madsonik"
"6222",2015-07-04,84,"B**** I'm Madonna","Madonna Featuring Nicki Minaj"
"6223",2015-07-18,84,"Play No Games","Big Sean Featuring Chris Brown & Ty Dolla $ign"
"6224",2015-10-10,84,"Confident","Demi Lovato"
"6225",2016-08-06,84,"Body Say","Demi Lovato"
"6226",2016-08-27,84,"Cool Girl","Tove Lo"
"6227",2016-09-10,84,"Pink + White","Frank Ocean"
"6228",2017-08-26,84,"Perplexing Pegasus","Rae Sremmurd"
"6229",1958-08-30,85,"Please Don't Do It","Dale Wright And The Wright Guys With the Dons"
"6230",1958-09-20,85,"Real Wild Child","Ivan"
"6231",1959-03-07,85,"Ballad Of A Girl And Boy","Graduates"
"6232",1959-05-02,85,"Peace","The McGuire Sisters"
"6233",1959-07-04,85,"Sea Of Love","Phil Phillips With The Twilights"
"6234",1959-10-31,85,"Starry Eyed","Gary Stites"
"6235",1959-12-19,85,"Baciare Baciare (Kissing Kissing)","Dorothy Collins"
"6236",1960-02-27,85,"Chattanooga Choo Choo","Ernie Fields & Orch."
"6237",1960-05-21,85,"Because They're Young","Duane Eddy And The Rebels"
"6238",1960-05-28,85,"Alley-Oop","Hollywood Argyles"
"6239",1960-08-13,85,"Bongo Bongo Bongo","Preston Epps"
"6240",1960-09-03,85,"And Now","Della Reese"
"6241",1961-03-25,85,"Ain't It, Baby","The Miracles"
"6242",1961-07-01,85,"Don't Bet Money Honey","Linda Scott"
"6243",1961-09-16,85,"So Long Baby","Del Shannon"
"6244",1961-12-23,85,"Please Come Home For Christmas","Charles Brown"
"6245",1962-01-20,85,"Chattanooga Choo Choo","Floyd Cramer"
"6246",1962-01-27,85,"Cry To Me","Solomon Burke"
"6247",1962-08-18,85,"Papa-Oom-Mow-Mow","The Rivingtons"
"6248",1962-08-25,85,"So Wrong","Patsy Cline"
"6249",1962-11-24,85,"Rainbow At Midnight","Jimmie Rodgers"
"6250",1963-02-23,85,"Rainbow","Gene Chandler"
"6251",1963-03-09,85,"Pepino's Friend Pasqual (The Italian Pussy-Cat)","Lou Monte"
"6252",1963-04-27,85,"Ronnie, Call Me When You Get A Chance","Shelley Fabares"
"6253",1963-05-04,85,"Patty Baby","Freddy Cannon"
"6254",1963-05-18,85,"Blue On Blue","Bobby Vinton"
"6255",1963-06-08,85,"Six Days On The Road","Dave Dudley"
"6256",1963-06-15,85,"Come Go With Me","Dion"
"6257",1963-08-03,85,"Surfer Girl","The Beach Boys"
"6258",1963-08-24,85,"Organ Shout","Dave ""Baby"" Cortez"
"6259",1963-12-07,85,"Out Of Limits","The Marketts"
"6260",1964-01-04,85,"Since I Found A New Love","Little Johnny Taylor"
"6261",1964-02-01,85,"Can Your Monkey Do The Dog","Rufus Thomas"
"6262",1964-06-13,85,"Alone With You","Brenda Lee"
"6263",1964-11-28,85,"A Woman's Love","Carla Thomas"
"6264",1965-01-30,85,"Can't You Hear My Heartbeat","Herman's Hermits"
"6265",1965-04-10,85,"She's Coming Home","The Zombies"
"6266",1965-07-10,85,"Candy","The Astors"
"6267",1965-09-04,85,"Ain't It True","Andy Williams"
"6268",1965-10-09,85,"Round Every Corner","Petula Clark"
"6269",1965-10-16,85,"Remember When","Wayne Newton"
"6270",1965-12-11,85,"Please Don't Fight It","Dino, Desi & Billy"
"6271",1966-01-01,85,"Spread It On Thick","The Gentrys"
"6272",1966-01-29,85,"A Little Bit Of Soap","The Exciters"
"6273",1966-02-05,85,"Batman Theme","The Marketts"
"6274",1966-02-26,85,"Smokey Joe's La La","Googie Rene Combo"
"6275",1966-03-19,85,"Please Don't Stop Loving Me","Elvis Presley"
"6276",1966-05-28,85,"Come And Get Me","Jackie DeShannon"
"6277",1966-08-06,85,"Petticoat White (Summer Sky Blue)","Bobby Vinton"
"6278",1966-09-17,85,"See See Rider","Eric Burdon & The Animals"
"6279",1966-10-29,85,"A Day In The Life Of A Fool","Jack Jones"
"6280",1967-01-07,85,"Oh Yeah!","The Joe Cuba Sextet"
"6281",1967-02-25,85,"Penny Lane","The Beatles"
"6282",1967-03-25,85,"Cry To Me","Freddie Scott"
"6283",1967-04-29,85,"Can't Seem To Make You Mine","The Seeds"
"6284",1967-05-06,85,"Come On Down To My Boat","Every Mothers' Son"
"6285",1967-08-19,85,"Anything Goes","Harpers Bizarre"
"6286",1967-10-28,85,"Out Of The Blue","Tommy James And The Shondells"
"6287",1967-11-18,85,"Peace Of Mind","Paul Revere & The Raiders Featuring Mark Lindsay"
"6288",1967-12-23,85,"Spooky","Classics IV"
"6289",1968-01-13,85,"Do Unto Me","James & Bobby Purify"
"6290",1968-08-31,85,"(There's) Always Something There To Remind Me","Dionne Warwick"
"6291",1968-09-28,85,"Do The Choo Choo","Archie Bell & The Drells"
"6292",1968-10-05,85,"Alfie","Eivets Rednow"
"6293",1968-10-12,85,"Cinderella Sunshine","Paul Revere & The Raiders Featuring Mark Lindsay"
"6294",1968-12-14,85,"Crimson And Clover","Tommy James And The Shondells"
"6295",1968-12-28,85,"Not On The Outside","The Moments"
"6296",1969-05-03,85,"Pretty World","Sergio Mendes & Brasil '66"
"6297",1969-05-10,85,"Someday Man","The Monkees"
"6298",1969-06-14,85,"Quentin's Theme","The Charles Randolph Grean Sounde"
"6299",1969-06-28,85,"Put A Little Love In Your Heart","Jackie DeShannon"
"6300",1969-10-18,85,"Proud Mary","The Checkmates, Ltd. Featuring Sonny Charles"
"6301",1969-10-25,85,"Roosevelt And Ira Lee (Night of the Mossacin)","Tony Joe White"
"6302",1970-03-21,85,"Dear Prudence","The 5 Stairsteps"
"6303",1970-05-09,85,"Ride Captain Ride","Blues Image"
"6304",1970-05-16,85,"So Much Love","Faith, Hope And Charity"
"6305",1970-07-11,85,"Apartment 21","Bobbie Gentry"
"6306",1970-11-14,85,"Domino","Van Morrison"
"6307",1970-12-05,85,"Ruby Tuesday","Melanie"
"6308",1971-02-13,85,"Cherish What Is Dear To You (While It's Near to You)","Freda Payne"
"6309",1971-02-27,85,"Ain't Got Time","The Impressions"
"6310",1971-03-06,85,"Snow Blind Friend","Steppenwolf"
"6311",1971-04-17,85,"Albert Flasher/Broken","The Guess Who"
"6312",1971-06-12,85,"Do You Know What Time It Is?","P-Nut Gallery"
"6313",1972-02-26,85,"Afro-Strut","The Nite-Liters"
"6314",1972-08-05,85,"Ben","Michael Jackson"
"6315",1972-09-23,85,"Rock 'N Roll Soul","Grand Funk Railroad"
"6316",1972-11-18,85,"Day And Night","The Wackers"
"6317",1973-02-03,85,"Peaceful","Helen Reddy"
"6318",1973-02-10,85,"A Letter To Myself","The Chi-lites"
"6319",1973-02-17,85,"Pardon Me Sir","Joe Cocker"
"6320",1973-05-26,85,"Smoke On The Water","Deep Purple"
"6321",1973-08-18,85,"China Grove","The Doobie Brothers"
"6322",1973-08-25,85,"Ramblin Man","The Allman Brothers Band"
"6323",1973-09-15,85,"Such A Night","Dr. John"
"6324",1973-10-13,85,"Oh! No Not My Baby","Rod Stewart"
"6325",1974-04-06,85,"A Dream Goes On Forever","Todd Rundgren"
"6326",1974-06-01,85,"Rebel Rebel","David Bowie"
"6327",1974-06-08,85,"Ballero","War"
"6328",1974-09-14,85,"All Shook Up","Suzi Quatro"
"6329",1974-09-28,85,"Distant Lover","Marvin Gaye"
"6330",1975-02-15,85,"Dance The Kung Fu","Carl Douglas"
"6331",1975-04-12,85,"Bloody Well Right","Supertramp"
"6332",1975-06-21,85,"Send In The Clowns","Judy Collins"
"6333",1975-07-12,85,"Come An' Get Yourself Some","Leon Haywood"
"6334",1975-10-11,85,"Saturday Night","Bay City Rollers"
"6335",1975-10-18,85,"Our Day Will Come","Frankie Valli"
"6336",1975-11-15,85,"Carry Me","David Crosby/Graham Nash"
"6337",1976-01-03,85,"Only Sixteen","Dr. Hook"
"6338",1976-01-10,85,"Remember Me","Willie Nelson"
"6339",1976-03-13,85,"Queen Of Clubs","KC And The Sunshine Band"
"6340",1976-05-01,85,"Could It Be Magic","Donna Summer"
"6341",1976-05-29,85,"Save Your Kisses For Me","Bobby Vinton"
"6342",1976-07-10,85,"Springtime Mama","Henry Gross"
"6343",1976-07-24,85,"Struttin' My Stuff","Elvin Bishop"
"6344",1976-10-16,85,"Shake Your Rump To The Funk","The Bar-Kays"
"6345",1976-10-23,85,"After The Lovin'","Engelbert Humperdinck"
"6346",1977-01-29,85,"Reach","Orleans"
"6347",1977-02-12,85,"Dedication","Bay City Rollers"
"6348",1977-04-02,85,"Sub-rosa Subway/calling Occupants","Klaatu"
"6349",1977-05-28,85,"Amarillo","Neil Sedaka"
"6350",1977-06-18,85,"Slide","Slave"
"6351",1977-07-02,85,"Platinum Heroes","Bruce Foster"
"6352",1977-07-09,85,"Rock And Roll Never Forgets","Bob Seger"
"6353",1977-11-12,85,"Point Of Know Return","Kansas"
"6354",1977-12-24,85,"Curious Mind (Um, Um, Um, Um, Um, Um)","Johnny Rivers"
"6355",1978-02-04,85,"Silver Dreams","The Babys"
"6356",1978-03-11,85,"(Any Way That You Want It) I'll Be There","Starz"
"6357",1978-04-22,85,"Cheeseburger In Paradise","Jimmy Buffett"
"6358",1978-05-20,85,"Stone Blue","Foghat"
"6359",1978-05-27,85,"Can We Still Be Friends","Todd Rundgren"
"6360",1978-06-03,85,"So Hard Livin' Without You","Airwaves"
"6361",1978-07-01,85,"Anytime","Journey"
"6362",1978-08-26,85,"Sweet Life","Paul Davis"
"6363",1978-09-16,85,"Champagne Jam","Atlanta Rhythm Section"
"6364",1978-10-14,85,"Promises","Eric Clapton And His Band"
"6365",1979-02-24,85,"Call Out My Name","Zwol"
"6366",1979-03-10,85,"Take It Back","The J. Geils Band"
"6367",1979-04-14,85,"Star Love","Cheryl Lynn"
"6368",1979-04-28,85,"(Wish I Could Fly Like) Superman","The Kinks"
"6369",1979-05-19,85,"Sad Eyes","Robert John"
"6370",1979-06-09,85,"Suspicions","Eddie Rabbitt"
"6371",1979-07-07,85,"Sweets For My Sweet","Tony Orlando"
"6372",1979-08-04,85,"Rocky II Disco","Maynard Ferguson"
"6373",1979-09-08,85,"Stillsane","Carolyne Mas"
"6374",1979-09-22,85,"Angeleyes","ABBA"
"6375",1979-10-13,85,"Pretty Girls","Melissa Manchester"
"6376",1979-12-22,85,"99","Toto"
"6377",1980-03-01,85,"Only A Lonely Heart Sees","Felix Cavaliere"
"6378",1980-03-08,85,"A Lesson In Leavin'","Dottie West"
"6379",1980-04-12,85,"Steal Away","Robbie Dupree"
"6380",1980-05-17,85,"Stand By Me","Mickey Gilley"
"6381",1980-06-28,85,"Beyond","Herb Alpert"
"6382",1980-08-02,85,"Stranger In My Home Town","Foghat"
"6383",1980-10-18,85,"Private Idaho","The B-52s"
"6384",1980-12-13,85,"Set The Night On Fire","Oak"
"6385",1981-04-11,85,"One More Chance","Diana Ross"
"6386",1981-07-11,85,"Nothing Ever Goes As Planned","Styx"
"6387",1982-01-16,85,"Bobbie Sue","The Oak Ridge Boys"
"6388",1982-01-23,85,"Circle Of Love","The Steve Miller Band"
"6389",1982-02-20,85,"Shine On","George Duke"
"6390",1982-04-24,85,"Stone Cold","Rainbow"
"6391",1982-06-05,85,"Street Corner","Ashford & Simpson"
"6392",1982-07-24,85,"She Got The Goldmine (i Got The Shaft)","Jerry Reed"
"6393",1982-08-21,85,"Right Away","Kansas"
"6394",1982-09-04,85,"Take The L.","The Motels"
"6395",1982-09-25,85,"Please Be The One","Karla Bonoff"
"6396",1982-10-02,85,"Destination Unknown","Missing Persons"
"6397",1982-12-04,85,"Painted Picture","Commodores"
"6398",1982-12-18,85,"Are You Getting Enough Happiness","Hot Chocolate"
"6399",1983-03-12,85,"Always Something There To Remind Me","Naked Eyes"
"6400",1983-04-09,85,"Reap The Wild Wind","Ultravox"
"6401",1983-04-23,85,"Do You Wanna Hold Me?","Bow Wow Wow"
"6402",1983-09-10,85,"Spice Of Life","The Manhattan Transfer"
"6403",1984-03-31,85,"Communication","Spandau Ballet"
"6404",1984-04-07,85,"Sail Away","The Temptations"
"6405",1984-08-11,85,"Caribbean Queen (No More Love On The Run)","Billy Ocean"
"6406",1984-09-01,85,"On The Wings Of A Nightingale","The Everly Brothers"
"6407",1984-10-06,85,"Can't Let Go","Stephen Stills"
"6408",1984-10-27,85,"(Pride) In The Name Of Love","U2"
"6409",1984-11-03,85,"Concealed Weapons","The J. Geils Band"
"6410",1984-12-15,85,"20/20","George Benson"
"6411",1985-02-09,85,"One Foot Back In Your Door","Roman Holliday"
"6412",1985-04-13,85,"Basketball","Kurtis Blow"
"6413",1985-05-04,85,"Black Cars","Gino Vannelli"
"6414",1985-05-25,85,"Rock Me Tonight","Freddie Jackson"
"6415",1985-06-15,85,"People Get Ready","Jeff Beck & Rod Stewart"
"6416",1985-08-03,85,"Oh Sheila","Ready For The World"
"6417",1985-08-24,85,"All Of Me For All Of You","9.9"
"6418",1985-10-12,85,"Que Te Quiero","Katrina And The Waves"
"6419",1985-12-14,85,"Day By Day","Hooters"
"6420",1986-02-15,85,"Something About You","Level 42"
"6421",1986-03-22,85,"Restless","Starpoint"
"6422",1986-05-10,85,"Danger Zone","Kenny Loggins"
"6423",1978-05-20,28,"Deacon Blues","Steely Dan"
"6424",1987-05-30,28,"Don't Disturb This Groove","The System"
"6425",1988-07-23,28,"Rag Doll","Aerosmith"
"6426",2008-02-09,28,"See You Again","Miley Cyrus"
"6427",1963-01-05,28,"Shutters And Boards","Jerry Wallace"
"6428",1968-11-23,28,"Quick Joey Small (Run Joey Run)","Kasenetz-Katz Singing Orchestral Circus"
"6429",1972-10-28,28,"Summer Breeze","Seals & Crofts"
"6430",1981-01-31,28,"A Little In Love","Cliff Richard"
"6431",1986-12-20,28,"Coming Around Again","Carly Simon"
"6432",1991-12-07,28,"Broken Arrow","Rod Stewart"
"6433",2000-05-13,28,"Shackles (Praise You)","Mary Mary"
"6434",1978-10-28,28,"Prisoner Of Your Love","Player"
"6435",1980-03-29,28,"And The Beat Goes On","The Whispers"
"6436",1976-01-17,28,"Squeeze Box","The Who"
"6437",1977-02-26,28,"Say You'll Stay Until Tomorrow","Tom Jones"
"6438",1979-10-13,28,"Please Don't Go","KC And The Sunshine Band"
"6439",1969-01-18,28,"Bella Linda","The Grass Roots"
"6440",1985-08-31,28,"Take On Me","a-ha"
"6441",1966-02-05,29,"Attack","The Toys"
"6442",1963-02-23,29,"Call On Me","Bobby Bland"
"6443",1968-08-31,29,"Slip Away","Clarence Carter"
"6444",1971-07-10,29,"Puppet Man/Resurrection Shuffle","Tom Jones"
"6445",2013-02-23,29,"C'mon","Ke$ha"
"6446",1983-11-19,29,"Ain't Nobody","Chaka Khan"
"6447",2001-10-13,29,"AM To PM","Christina Milian"
"6448",1964-10-24,29,"Softly, As I Leave You","Frank Sinatra"
"6449",1961-07-15,29,"Sacred","The Castells"
"6450",1962-07-07,29,"Bristol Twistin' Annie","The Dovells"
"6451",1971-05-01,29,"Baby Let Me Kiss You","King Floyd"
"6452",1976-07-17,29,"Sophisticated Lady (She's A Different Lady)","Natalie Cole"
"6453",1976-09-04,29,"Street Singin'","Lady Flash"
"6454",1986-09-06,29,"Oh, People","Patti LaBelle"
"6455",1960-03-19,29,"Sixteen Reasons","Connie Stevens"
"6456",1967-05-13,29,"Dead End Street Monologue/Dead End Street","Lou Rawls"
"6457",1973-06-02,29,"And I Love You So","Perry Como"
"6458",1977-06-04,29,"Ariel","Dean Friedman"
"6459",1983-09-24,29,"Big Log","Robert Plant"
"6460",1984-03-10,29,"Runner","Manfred Mann's Earth Band"
"6461",1978-02-25,29,"Always And Forever","Heatwave"
"6462",2000-10-28,29,"Pinch Me","Barenaked Ladies"
"6463",1979-11-03,29,"Rainbow Connection","Kermit (Jim Henson)"
"6464",1982-06-12,29,"Only The Lonely","The Motels"
"6465",2000-05-27,29,"Better Off Alone","Alice Deejay"
"6466",1959-08-15,29,"See You In September","The Tempos"
"6467",1976-01-03,29,"Baby Face","The Wing And A Prayer Fife & Drum Corps."
"6468",1986-07-19,29,"Take It Easy","Andy Taylor"
"6469",1988-05-07,29,"One Good Reason","Paul Carrack"
"6470",1988-11-19,29,"Spy In The House Of Love","Was (Not Was)"
"6471",1960-04-23,29,"Apple Green","June Valli"
"6472",1974-03-09,29,"Rock And Roll, Hoochie Koo","Rick Derringer"
"6473",2015-12-26,29,"Roses","The Chainsmokers Featuring Rozes"
"6474",1976-01-17,29,"Paloma Blanca","George Baker Selection"
"6475",1990-02-03,29,"C'mon And Get My Love","D-Mob Introducing Cathy Dennis"
"6476",1991-06-01,29,"Right Here, Right Now","Jesus Jones"
"6477",1972-03-18,29,"Crazy Mama","J.J. Cale"
"6478",2010-09-04,29,"Deuces","Chris Brown Featuring Tyga & Kevin McCall"
"6479",1962-06-02,29,"So This Is Love","The Castells"
"6480",1974-06-29,29,"Radar Love","Golden Earring"
"6481",2016-03-12,29,"2 Phones","Kevin Gates"
"6482",1966-12-24,30,"(Come 'round Here) I'm The One You Need","The Miracles"
"6483",1964-09-05,30,"Ain't She Sweet","The Beatles"
"6484",2013-03-09,30,"Carry On","fun."
"6485",1959-12-19,30,"Reveille Rock","Johnny And The Hurricanes"
"6486",1964-07-25,30,"Remember Me","Rita Pavone"
"6487",1963-11-02,30,"Blue Bayou","Roy Orbison"
"6488",1970-08-15,30,"Big Yellow Taxi","The Neighborhood"
"6489",1990-03-10,30,"Summer Rain","Belinda Carlisle"
"6490",2015-12-26,30,"Say It","Tory Lanez"
"6491",1992-06-27,30,"T.L.C.","Linear"
"6492",1960-06-11,30,"Another Sleepless Night","Jimmy Clanton"
"6493",1983-07-23,30,"Stop In The Name Of Love","The Hollies"
"6494",1984-04-28,30,"Sister Christian","Night Ranger"
"6495",2008-12-20,30,"Pop Champagne","Jim Jones & Ron Browz Featuring Juelz Santana"
"6496",1975-06-14,30,"Baby That's Backatcha","Smokey Robinson"
"6497",2007-04-14,30,"2 Step","Unk"
"6498",1990-07-28,30,"Possession","Bad English"
"6499",1991-08-10,30,"Only Time Will Tell","Nelson"
"6500",1961-10-21,30,"Please Mr. Postman","The Marvelettes"
"6501",1975-03-22,30,"Butter Boy","Fanny"
"6502",1975-04-19,30,"Amie","Pure Prairie League"
"6503",1975-05-31,30,"Remember What I Told You To Forget/My Ship","Tavares"
"6504",1993-04-17,30,"Simple Life","Elton John"
"6505",1967-08-19,30,"(I Wanna) Testify","The Parliaments"
"6506",1975-04-26,30,"Shaving Cream","Benny Bell"
"6507",1987-06-20,30,"Rock The Night","Europe"
"6508",1973-09-22,30,"Stoned Out Of My Mind","The Chi-lites"
"6509",2004-06-26,30,"99 Problems","JAY-Z"
"6510",1964-09-26,31,"Clinging Vine","Bobby Vinton"
"6511",1968-06-29,31,"A Man Without Love (Quando M'innamoro)","Engelbert Humperdinck"
"6512",1961-03-11,31,"Ram-Bunk-Shush","The Ventures"
"6513",2007-11-10,31,"Don't Blink","Kenny Chesney"
"6514",1968-02-24,31,"Sunday Mornin'","Spanky And Our Gang"
"6515",1959-05-02,31,"Come To Me","Marv Johnson"
"6516",1972-03-18,31,"Ring The Living Bell","Melanie"
"6517",1995-09-02,31,"Sugar Hill","AZ"
"6518",2002-09-28,31,"Beautiful Mess","Diamond Rio"
"6519",1979-02-03,31,"Shattered","The Rolling Stones"
"6520",1991-01-12,31,"Disappear","INXS"
"6521",1964-12-19,31,"She Understands Me","Johnny Tillotson"
"6522",1977-04-02,31,"At Midnight (My Love Will Lift You Up)","Rufus Featuring Chaka Khan"
"6523",1978-09-09,31,"A Rock 'N' Roll Fantasy","The Kinks"
"6524",1981-10-31,31,"Sausalito Summernight","Diesel"
"6525",1984-06-09,31,"Dance Hall Days","Wang Chung"
"6526",1992-03-07,31,"Oochie Coochie","M.C. Brains"
"6527",1995-10-28,31,"Sentimental","Deborah Cox"
"6528",2007-05-05,31,"Better Than Me","Hinder"
"6529",2007-10-13,31,"Over You","Daughtry"
"6530",2016-10-08,31,"Starving","Hailee Steinfeld & Grey Featuring Zedd"
"6531",1963-09-21,31,"Please Don't Talk To The Lifeguard","Diane Ray"
"6532",1987-12-12,31,"Power Of Love","Laura Branigan"
"6533",2000-01-15,31,"Take A Picture","Filter"
"6534",2005-09-10,31,"Outta Control (Remix)","50 Cent Featuring Mobb Deep"
"6535",1972-12-30,31,"Smoke Gets In Your Eyes","Blue Haze"
"6536",1976-06-26,31,"Save Your Kisses For Me","Brotherhood Of Man"
"6537",1987-06-13,31,"Sweet Sixteen","Billy Idol"
"6538",1991-12-07,31,"Angel Baby","Angelica"
"6539",1969-04-19,31,"Snatching It Back","Clarence Carter"
"6540",1971-02-06,31,"(Do The) Push And Pull Part I","Rufus Thomas"
"6541",1975-10-18,31,"Sky High","Jigsaw"
"6542",1979-01-27,31,"Baby I'm Burnin'","Dolly Parton"
"6543",1979-11-24,31,"Cruisin'","Smokey Robinson"
"6544",1960-12-10,31,"Am I Losing You","Jim Reeves"
"6545",1973-01-06,31,"Do It Again","Steely Dan"
"6546",2006-04-15,31,"Over My Head (Cable Car)","The Fray"
"6547",1973-06-16,31,"Behind Closed Doors","Charlie Rich"
"6548",1977-07-30,31,"Black Betty","Ram Jam"
"6549",2001-10-13,31,"Smooth Criminal","Alien Ant Farm"
"6550",1985-03-30,31,"Radioactive","The Firm"
"6551",1968-10-26,31,"Shoot'em Up, Baby","Andy Kim"
"6552",1966-10-15,31,"Born Free","Roger Williams"
"6553",1966-06-11,31,"Dirty Water","The Standells"
"6554",1966-09-10,31,"Open The Door To Your Heart","Darrell Banks"
"6555",1965-08-07,32,"Sitting In The Park","Billy Stewart"
"6556",1960-04-30,32,"Big Iron","Marty Robbins"
"6557",1968-11-02,32,"Chained","Marvin Gaye"
"6558",1972-08-12,32,"Small Beginnings","Flash"
"6559",1977-04-23,32,"Sometimes","Facts Of Life"
"6560",1995-12-30,32,"Be My Lover","La Bouche"
